profile,method,union_best_source_method,union_best_source_label,union_best_is_executed_point,count
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|full_candidate_exact|myopic_reoptimization,common/reachable_9|anchored_mobility/reachable_9|anchored_mobility/executed|common/reachable_9|full_candidate_exact/executed|freshness_priority/reachable_9|myopic_reoptimization/reachable_9,True,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|full_candidate_exact|myopic_reoptimization,common/reachable_9|anchored_mobility/reachable_9|common/reachable_9|full_candidate_exact/executed|freshness_priority/reachable_9|freshness_priority/executed|myopic_reoptimization/reachable_9,True,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|full_candidate_exact|myopic_reoptimization|proposed_full|static_uav,common/stay|proposed_full/stay|anchored_mobility/reachable_0|anchored_mobility/executed|static_uav/static|static_uav/executed|common/stay|full_candidate_exact/executed|freshness_priority/reachable_0|myopic_reoptimization/reachable_0|myopic_reoptimization/executed,True,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization,common/reachable_14|anchored_mobility/reachable_14|freshness_priority/reachable_14|freshness_priority/executed|myopic_reoptimization/reachable_14,True,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization,common/reachable_15|anchored_mobility/reachable_15|freshness_priority/reachable_15|myopic_reoptimization/reachable_15,False,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization,common/reachable_1|anchored_mobility/reachable_1|anchored_mobility/executed|freshness_priority/reachable_1|freshness_priority/executed|myopic_reoptimization/reachable_1,True,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization,common/reachable_2|anchored_mobility/reachable_2|anchored_mobility/executed|freshness_priority/reachable_2|myopic_reoptimization/reachable_2,True,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization,common/reachable_4|anchored_mobility/reachable_4|freshness_priority/reachable_4|myopic_reoptimization/reachable_4,False,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization,common/reachable_5|anchored_mobility/reachable_5|freshness_priority/reachable_5|myopic_reoptimization/reachable_5,False,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization,common/reachable_6|anchored_mobility/reachable_6|freshness_priority/reachable_6|myopic_reoptimization/reachable_6,False,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization,common/reachable_7|anchored_mobility/reachable_7|anchored_mobility/executed|freshness_priority/reachable_7|freshness_priority/executed|myopic_reoptimization/reachable_7,True,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization,common/reachable_9|anchored_mobility/reachable_9|freshness_priority/reachable_9|myopic_reoptimization/reachable_9,False,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization|proposed_full|static_uav,common/stay|proposed_full/stay|anchored_mobility/reachable_0|anchored_mobility/executed|static_uav/static|static_uav/executed|freshness_priority/reachable_0|freshness_priority/executed|myopic_reoptimization/reachable_0|myopic_reoptimization/executed,True,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization|proposed_full|static_uav,common/stay|proposed_full/stay|anchored_mobility/reachable_0|anchored_mobility/executed|static_uav/static|static_uav/executed|freshness_priority/reachable_0|myopic_reoptimization/reachable_0|myopic_reoptimization/executed,True,1
balanced,anchored_mobility,anchored_mobility|common|freshness_priority|myopic_reoptimization|proposed_full|static_uav|sun_receding_ao,common/stay|proposed_full/stay|anchored_mobility/reachable_0|static_uav/static|static_uav/executed|sun_receding_ao/sun_receding_path0|sun_receding_ao/executed|freshness_priority/reachable_0|myopic_reoptimization/reachable_0|myopic_reoptimization/executed,True,1
balanced,freshness_priority,proposed_full|regularized_execution,proposed_full/grad_full|proposed_full/executed|regularized_execution/gradient_step|regularized_execution/executed,True,273
balanced,freshness_priority,sun_receding_ao,sun_receding_ao/sun_receding_path0|sun_receding_ao/executed,True,200
balanced,freshness_priority,proposed_full|regularized_execution,proposed_full/grad_full|regularized_execution/gradient_step|regularized_execution/executed,True,188
balanced,freshness_priority,anchored_mobility|common|freshness_priority|full_candidate_exact|myopic_reoptimization|proposed_full|static_uav|sun_receding_ao,common/stay|proposed_full/stay|proposed_full/executed|anchored_mobility/reachable_0|anchored_mobility/executed|static_uav/static|static_uav/executed|common/stay|full_candidate_exact/executed|sun_receding_ao/sun_receding_path0|sun_receding_ao/executed|freshness_priority/reachable_0|freshness_priority/executed|myopic_reoptimization/reachable_0|myopic_reoptimization/executed,True,122
balanced,freshness_priority,proposed_full,proposed_full/local_r1_0.00|proposed_full/executed,True,121
balanced,freshness_priority,proposed_full,proposed_full/local_r1_3.14|proposed_full/executed,True,115
balanced,freshness_priority,proposed_full,proposed_full/local_r1_0.00,False,102
