variant,method,method_label,num_seeds,total_penalty_mean,total_penalty_std,queue_backlog_mean,queue_backlog_std,aoi_violation_mean,aoi_violation_std,uncertainty_violation_mean,uncertainty_violation_std,mean_virtual_aoi_queue_mean,mean_virtual_aoi_queue_std,mean_virtual_unc_queue_mean,mean_virtual_unc_queue_std,travel_distance_mean,travel_distance_std,solver_success_mean,solver_success_std,solver_nit_mean,solver_nit_std,runtime_ms_mean,runtime_ms_std,candidate_family_size_mean,candidate_family_size_std
V64_rho0p01_sl6,proposed_full,DCEE-V64_rho0p01_sl6,3,1.9784913941152629,0.005717541466174078,162.21041585301933,61.546138512681374,11.523333333333333,0.5741950887982239,1.8963038181402894,0.2846788213372682,511.97555555555556,19.403860536081623,78.37196660270604,11.182787466065715,8.140776657975477,0.12229144340740704,1.0,0.0,31.679999999999996,4.942671342502961,101.02281400004965,16.083829367431235,5.033333333333333,0.032145502536643514
V64_rho0p0025_sl8,proposed_full,DCEE-V64_rho0p0025_sl8,3,1.9785278036829979,0.008197538916203244,150.57524214060746,65.61698119966611,11.154444444444444,0.8336688213575595,1.9208971761999933,0.2964013700717401,497.58666666666676,30.755544938180588,79.29005709460262,10.926765506119464,8.203971559571663,0.17750903522331685,1.0,0.0,38.26,0.47655010229775585,118.15318633300194,3.7665377726835043,7.0200000000000005,0.04358898943540682
V64_rho0p01_sl8,proposed_full,DCEE-V64_rho0p01_sl8,3,1.978534065343711,0.007220436130966871,158.32389682114396,62.39250858497335,11.523333333333333,0.5741950887982239,1.8971124494054408,0.28312525635519503,511.97555555555556,19.403860536081623,78.65696746452794,11.117431276629882,8.19730883375257,0.23689894467789746,1.0,0.0,36.01,3.4455333404278647,114.7840276669255,10.173073964925242,7.03,0.03464101615137783
V64_rho0p0025_sl6,proposed_full,DCEE-V64_rho0p0025_sl6,3,1.9794500924197642,0.005193726544185344,157.27373897577488,66.86360572940526,11.523333333333333,0.5741950887982239,1.9077202223866692,0.27126822752700985,511.97555555555556,19.403860536081623,78.82932238146111,10.907178687020227,8.138739446479295,0.15136973720820177,1.0,0.0,30.66,3.3255525856615176,95.18878133324809,8.9918246716009,5.023333333333333,0.04041451884327397
V64_rho0p0025_sl4,proposed_full,DCEE-V64_rho0p0025_sl4,3,1.9811862170059378,0.0108839435875685,158.14757215179438,63.04101635281089,11.354444444444445,0.8510799240006985,1.9133765764600765,0.29507554423289234,502.02000000000004,28.13344174544676,78.92139593197321,10.813763253841023,8.304561034264895,0.4443262638846144,1.0,0.0,28.096666666666668,0.9557370628647471,88.11328233321547,2.411524255211996,3.0233333333333334,0.04041451884327371
V48_rho0p005_sl6,proposed_full,DCEE-V48_rho0p005_sl6,3,2.0203014016253733,0.01814031514456078,173.83631070076362,73.0092580054733,11.321111111111113,0.899767459670264,1.8897312006131546,0.3004870356155214,497.82444444444445,33.18420530134003,78.08266445205413,10.853877230221613,8.00639081900803,0.4557594278018882,1.0,0.0,32.25666666666667,5.027020323544888,102.15444933351439,15.461750827077744,5.026666666666666,0.037859388972002035
V48_rho0p0025_sl4,proposed_full,DCEE-V48_rho0p0025_sl4,3,2.021419707154676,0.010753790095358087,176.81207842589447,49.770324093665494,11.354444444444445,0.8510799240006985,1.8941364047774705,0.30533834423458733,502.02000000000004,28.13344174544676,77.77085435610871,11.37541117779206,8.168228531953813,0.13383126612395327,1.0,0.0,24.506666666666664,2.9243859754371235,73.98875133343002,5.966647996689405,3.043333333333333,0.03785938897200178
V48_rho0p01_sl8,proposed_full,DCEE-V48_rho0p01_sl8,3,2.021453754505547,0.010586762257551908,173.10020086104473,71.21888061779774,11.351111111111111,0.8496360876760592,1.8906403194477714,0.2854946984835211,501.498888888889,28.3465119024729,77.81800152831467,10.840930656801364,8.174816862513543,0.11199821092779243,1.0,0.0,37.693333333333335,4.420965203813909,119.55798700005592,12.556963891398365,7.023333333333333,0.041633319989322765
V48_rho0p005_sl4,proposed_full,DCEE-V48_rho0p005_sl4,3,2.02271642129513,0.02040732452087237,164.79728111131377,61.08432139588049,11.324444444444445,0.9012974187453522,1.8945442209830554,0.3054236713218179,498.3455555555556,33.08929842668734,78.49717078224944,10.703874564481612,8.183585363970222,0.6332191085800454,1.0,0.0,28.62,3.4480574241157886,90.1369433333457,9.320021093672718,3.026666666666667,0.03785938897200178
V48_rho0p0025_sl8,proposed_full,DCEE-V48_rho0p0025_sl8,3,2.0246208702347186,0.01706365889444348,169.33458430054364,67.18961784285324,11.351111111111111,0.8496360876760592,1.8860276575167758,0.30093988754658485,501.498888888889,28.3465119024729,77.44564706911768,11.211105647090477,8.179784998368353,0.3294264064825675,1.0,0.0,34.20666666666667,3.8720192836985365,104.63806566675582,8.710481200548234,7.039999999999999,0.04358898943540662
