slot,seed,profile,method,finite_gap,method_label,running_mean_finite_gap
195,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,95.96264325954272
196,1000,balanced,anchored_mobility,8.709284276927065,Anchored-Mobility,95.51973280785431
197,1000,balanced,anchored_mobility,19.295972642696142,Anchored-Mobility,95.13476432217169
198,1000,balanced,anchored_mobility,5.369265671512039,Anchored-Mobility,94.68368141437945
199,1000,balanced,anchored_mobility,1.623472055660386,Anchored-Mobility,94.21838036758585
0,1000,balanced,freshness_priority,0.0,Freshness-Priority,0.0
1,1000,balanced,freshness_priority,1.831600733853208,Freshness-Priority,0.915800366926604
2,1000,balanced,freshness_priority,3.8303025997013833,Freshness-Priority,1.8873011111848639
3,1000,balanced,freshness_priority,5.430075660132616,Freshness-Priority,2.7729947484218016
4,1000,balanced,freshness_priority,7.293750027468718,Freshness-Priority,3.677145804231185
5,1000,balanced,freshness_priority,14.721964650123027,Freshness-Priority,5.517948945213159
6,1000,balanced,freshness_priority,6.958114271402508,Freshness-Priority,5.723686848954494
7,1000,balanced,freshness_priority,10.67446211908873,Freshness-Priority,6.342533757721274
8,1000,balanced,freshness_priority,14.3147696302168,Freshness-Priority,7.2283377435541105
9,1000,balanced,freshness_priority,1.1451025433973427,Freshness-Priority,6.620014223538433
10,1000,balanced,freshness_priority,1.561087569515735,Freshness-Priority,6.160111800445461
11,1000,balanced,freshness_priority,0.0,Freshness-Priority,5.646769150408339
12,1000,balanced,freshness_priority,2.26193108810628,Freshness-Priority,5.386396991769719
13,1000,balanced,freshness_priority,0.1398810281995111,Freshness-Priority,5.011645851514705
14,1000,balanced,freshness_priority,3.4279511620112544,Freshness-Priority,4.906066205547807
15,1000,balanced,freshness_priority,0.0346526399553113,Freshness-Priority,4.601602857698277
16,1000,balanced,freshness_priority,1.9803406003154576,Freshness-Priority,4.447410960205169
17,1000,balanced,freshness_priority,19.254290032007702,Freshness-Priority,5.270015353083088
18,1000,balanced,freshness_priority,8.048677633980105,Freshness-Priority,5.416260736288194
19,1000,balanced,freshness_priority,5.803028233641953,Freshness-Priority,5.435599111155883
20,1000,balanced,freshness_priority,9.534381938131672,Freshness-Priority,5.630779245773777
21,1000,balanced,freshness_priority,5.38761124955704,Freshness-Priority,5.619726155036653
22,1000,balanced,freshness_priority,1.639423509199787,Freshness-Priority,5.446669518261137
23,1000,balanced,freshness_priority,5.496430293511139,Freshness-Priority,5.4487428838965535
24,1000,balanced,freshness_priority,3.6888901456541134,Freshness-Priority,5.378348774366856
25,1000,balanced,freshness_priority,9.02497118288693,Freshness-Priority,5.518603482386859
